연번,아파트명,행정동,번지,도로명주소,층수,동수,총호수,난방방식,대지,연면적,주차장,사업승인,준공일자,사업방법,관리사무소전화번호
1,노량진우성,노량진1동,323,만양로8길 50,2/17~18,7,901,중앙가스,36371,27660,921,1990-06-16,1997-12-16,재개발,02-823-4532
2,노량진삼익,노량진1동,330,만양로 84,19,1,175,개별가스,6224,34983,171,1995-06-21,2001-07-11,재건축,02-815-6850
3,신동아리버파크,노량진1동,325,만양로 19,2/18~28,10,2621,중앙가스,78990,307831,2462,1994-08-04,2001-02-15,재개발,02-812-0322
4,노량진쌍용예가,노량진1동,332,장승배기로16길 134,15,5,299,개별난방,15603,49334,333,2004-06-04,2010-08-26,재개발,02-813-7510
5,형인한강,노량진1동,331,만양로 36,,1,73,개별가스,2359,8241,75,2000-03-25,2001-08-06,재건축,02-814-1925
6,노량진,노량진2동,227-5,장승배기로18길 27,2/11~15,2,49,개별가스,2360,3910,,,1974-11-01,재건축,02-813-2844
7,극동강변,본동,148-2,매봉로 158,13,1,123,개별가스,5359,12268,57,1989-01-27,1992-03-09,재건축,02-813-0449
8,본동신동아,본동,481,매봉로 134,12,9,765,중앙가스,269553,76540,440,1988-09-01,1993-06-26,재개발,02-825-2318
9,한강쌍용,본동,150,노량진로24길 2,17,2,161,개별가스,6141,23192,164,1995-07-01,1999-04-30,재개발,02-822-6740
10,유원강변,본동,482,노량진로23가길 16,2/13~25,5,306,개별가스,7978,41808,335,1992-03-12,2000-08-09,재건축,02-824-9414
11,경동윈츠리버,본동,484,노량진로32길 156,1/10~13,6,272,개별난방,11934,34886,282,1999-07-26,2004-12-30,재개발,02-812-8656
12,한신휴플러스,본동,487외1,매봉로 99,16~18,5,381,개별가스,2320,10438,323,1997-11-03,2004-12-30,재개발,02-813-7209
13,삼성래미안,본동,492,매봉로 123,16~18,6,477,개별난방,20914,3520,601,2000-10-09,2004-12-30,재개발,02-822-1162
14,본동SH빌(임대),본동,490,노량진로22길 60,,1,176,개별가스,3539,13308,120,,2006-11-03,재개발,02-822-7923
15,래미안 트윈파크,본동,494,노량진로23가길 23,3/24~29,5,523,개별난방,21250,80008,631,2007-09-28,2011-11-04,재개발,02-815-0900
16,대우유로카운티,상도1동,420,양녕로 287,21,1,78,개별가스,4452,17412,173,2000-11-10,2003-10-17,재건축,02-817-4211
17,중앙하이츠빌,상도1동,415,상도로 320,11~25,10,544,개별가스,23252,90284,708,1999-04-29,2003-11-30,재건축,02-813-6752
18,강남상가,상도1동,488,상도로 357,,1,69,개별가스,3136,5937,,,1972-03-16,재건축,02-825-1993
19,관악현대(관악구),"상도1동, 봉천3동","407, 1000","상도로 421, 관악로 304",,4,405,중앙가스,27779,37177,1223,,1992-04-20,재개발,02-873-1787
20,상도삼호,상도1동,408,상도로 407,15,5,682,중앙가스,21969,81197,432,1991-03-22,1994-02-25,재개발,02-825-6525
21,관악현대아파트201동,상도1동,410,사당로24길 10-5,,1,38,개별가스,1896,3887,33,1999-07-06,1995-06-21,재건축,02-822-7765
22,상도1동대림,상도1동,411,상도로60길 20,10,3,279,개별가스,9397,40963,288,1993-04-22,1995-12-04,재건축,02-817-7279
23,상도현대,상도1동,412,사당로2길 2-32,,2,194,개별가스,3823,25791,206,1994-08-20,2003-06-16,재건축,02-813-2231
24,래미안상도2차,상도1동,421,상도로55길 47,1/13~15,9,431,개별가스,42009,63011,488,2000-12-29,2003-11-20,재개발,02-813-9922
25,래미안상도3차,상도1동,431,상도로53길 8,1/9~15,28,1656,개별난방,85726,280217,2272,2000-02-14,2005-12-26,재개발,02-812-2936
26,상도엠코타운센트럴파크,상도1동,531,상도로 346-1,2/14~15,22,1559,개별난방,78478,251675,1967,2007-11-08,2012-09-25,지역주택조합,02-826-8901
27,상도엠코타운애스톤파크,상도1동,533,상도로 346-2,,16,882,개별난방,52577,158634,1185,2007-11-08,2013-08-14,지역주택조합,02-827-0388
28,상도SH빌(임대),상도1동,430,상도로53길 70,,4,953,개별난방,20154,66999,689,,2006-11-03,재개발,02-822-6950
29,상도페리스,상도1동,460,상도로47바길 40,11~18,2,80,개별가스,3444,10810,91,2001-09-07,2005-09-29,재건축,02-821-8322
30,삼환나우빌,상도1동,520,상도로55길 25,12~20,2,91,개별가스,5996,16707,137,2004-03-10,2007-03-29,재건축,02-812-1273
31,"상도건영(분양 824, 임대 552) ",상도2동,414,만양로 26,18,8,1376,중앙가스(열병합),36719,118189,930,1990-06-29,1997-09-12,재개발,02-813-6445
32,"상도래미안1차(분양 517, 임대 164) ",상도2동,450,등용로 37,2/15-19,8,681,개별가스,19725,81236,649,1997-10-17,2004-12-07,재개발,02-823-6884
33,I'PARK상도동,상도2동,416,장승배기로 26,1/17~22,6,400,LNG개별,15252,61614,506,2000-01-25,2004-04-27,재건축,02-823-8896
34,상도더샵,상도2동,521,장승배기로4길 9,3/9~15,22,1122,개별난방,61044,197874,1651,2004-11-30,2007-09-28,재건축,02-824-8292
35,상도더샵2차,상도2동,164-7,장승배기로10길 100,2/15~18,4,138,개별난방,7829,24257,173,2011-08-26,2014-04-07,지역주택조합,02-3280-6663
36,브라운스톤상도,상도2동,527,상도로31길 19,,8,415,개별가스,18225,58340,459,2005-03-21,2007-12-26,재건축,02-821-2755
37,상도동동원베네스트,상도2동,528,상도로34길 42,2/8~18,4,162,개별가스,8387,23332,185,2006-07-10,2008-10-31,재건축,02-824-3394
38,상도 두산위브,상도2동,529,상도로30길 39,3/11~12,4,190,개별난방,10242,22565,255,2007-10-30,2010-03-01,민영,02-813-0041
39,"상도2차두산위브트레지움(분양422, 임대160)",상도2동,535,상도로30길 40,21~23,6,582,개별난방,19376,99488,745,2012-01-03,2016-01-27,지역주택조합,02-827-0510
40,"상도 효성해링턴플레이스(분양147, 임대55)",상도2동,536,상도로 207,20~28,2,202,개별난방,5316,33592,231,2013-05-02,2016-08-26,지역주택조합,02-825-5300
41,"상도파크자이(분양387, 임대84)",상도2동,363-3,장승배기로11가길 11,2/16~25,7,471,개별난방,17783,68940,563,2009-04-20,2016-02-04,재개발,02-827-0795
42,"상도쌍용스윗닷홈(분양389, 임대65)",상도3동,418외,상도로 107,8~15,7,454,개별가스,19305,3403,452,2000-08-21,2003-11-20,재개발,02-812-2472
43,상도1차갑을명가,상도3동,458,국사봉길 178,2/11~13,2,123,개별난방,4867,17948,136,2003-06-23,2006-10-16,재건축,02-3280-4434
44,상도2차갑을명가,상도3동,459외1,국사봉길 175,2/7~12,3,118,개별난방,5680,18173,135,2003-06-30,2007-01-05,재건축,02-811-1705
45,약수맨션,상도4동,211-16,양녕로26길 15,10,3,130,개별가스,9764,17664,150,,1980-03-31,재건축,02-823-2975
46,롯데캐슬비엔,상도4동,530,양녕로 170,15,4,141,개별난방,8923,26308,192,2005-05-18,2010-07-28,재건축,02-815-7522
47,동아,상도4동,409,양녕로23길 43,,1,75,개별가스,2372,8769,60,1991-06-21,1995-05-22,재건축,02-822-7874
48,상도삼익,상도4동,413,양녕로26나길 8,,1,61,개별가스,2976,9654,61,1994-01-11,1997-02-28,민영,02-826-5563
49,경향렉스빌,상도4동,445,양녕로23길 9,2/8~10,2,197,개별가스,6307,33119,254,1999-11-09,2002-10-15,재건축,02-823-7345
50,우리유앤미,흑석동,329,서달로 83,17,2,206,개별가스,6978,27097,223,1997-12-30,2003-12-26,재건축,02-812-7541
51,흑석동양,흑석동,328,서달로1길 17,2/15~17,7,423,개별가스,16107,53118,433,2001-02-28,2003-11-04,재건축,02-816-7477
52,명수대현대,흑석동,10,현충로 119,,8,660,중앙가스,30452,83346,477,1986-09-10,1988-08-30,재개발,02-816-0300
53,한강현대,흑석동,28,현충로 151,,13,960,개별난방,44450,109232,626,1986-11-05,1988-09-07,재개발,02-812-6812
54,명수대한양,흑석동,38-58,현충로10길 42,5,2,90,개별가스,5888,9575,23,1989-04-10,1991-05-18,재개발,02-825-0195
55,명수대,흑석동,35462,서달로 158,5,1,51,중앙가스,4771,9313,,,1976-01-07,건축허가,02-814-3346
56,"흑석동청호(분양176, 임대170)",흑석동,327,서달로2길 29,,5,346,개별난방,17987,22703,136,1994-07-08,1997-10-31,주거환경도시개발,02-817-5152
57,"흑석한강센트레빌(분양541, 임대114)",흑석동,335,흑석한강로 12,13~20,10,655,개별난방,30631,112884,807,2006-07-10,2011-09-16,재개발,02-812-8846
58,"흑석한강푸르지오(분양716, 임대147)",흑석동,336,흑석한강로 27,7~19,14,863,개별난방,41112,152758,1155,2007-08-20,2012-07-31,재개발,02-823-0300
59,"흑석한강센트레빌Ⅱ(분양798, 임대165)",흑석동,339,서달로 91,12~20,14,963,개별난방,47774,1671012,1239,2006-07-11,2012-12-24,재개발,02-816-0089
60,르메이에르타운,사당1동,1141,사당로20길 119,,1,140,개별난방,4819,18321,155,1996-05-25,2001-12-07,재건축,02-583-1065
61,삼성,사당1동,1037-9,사당로26길 130-6,10,1,60,개별가스,2102,6718,64,2003-06-30,2006-02-17,재건축,02-3471-8272
62,극동,사당2동,105,동작대로29길 119,,12,1550,중앙가스(열병합),65288,181465,1007,1988-09-29,1993-12-21,재개발,02-595-7010
63,사당우성2단지,사당2동,105,동작대로29길 91,2/11~19,8,1080,중앙가스,44289,125689,745,1988-09-28,1993-12-21,재개발,02-537-1786
64,사당우성3단지,사당2동,105,동작대로29길 115,1/13~23,6,855,개별가스,1270,3613,538,1988-09-28,1993-12-21,재개발,02-532-7430
65,대아,사당2동,1136,동작대로29길 81,10,1,90,개별가스,1173,45557,78,1991-09-07,1998-11-07,재개발,02-594-1853
66,사당신동아4단지,사당동(동작동),105,동작대로29길 110,43477,8,912,중앙가스(열병합),34858,99860,913,1998-09-29,1993-12-21,재개발,02-595-1977
67,"사당5단지신동아(분양223, 임대110)",사당동(동작동),1137,동작대로29길 118,11~15,4,333,개별가스,10044,41956,320,1991-09-07,1998-11-20,재개발,02-599-6159
68,동작동금강KCC,동작동,331,동작대로39가길 55,15-20,7,276,개별가스,30247,38393,329,2000-10-05,2003-10-30,재건축,02-591-5610
69,신동아갯마을,동작동,329,동작대로43길 36,15,1,44,개별가스,1965,4800,43,1994-07-02,2001-07-04,재건축,02-591-5507
70,삼성,사당동(동작동),1140,동작대로35아길 14,15,1,113,개별가스,4690,13751,120,1995-04-26,1999-12-31,재건축,02-595-4406
71,이수교KCC스위첸,동작동,332,동작대로45길 22,,5,178,개별가스,8986,32003,263,2003-06-27,2006-03-30,재건축,02-3482-8584
72,이수 힐스테이트,동작동,333,동작대로39길 22,,15,680,개별난방,37498,79516,926,2007-05-22,2013-02-18,재건축,02-537-2083
73,사당유니드,사당2동,1155,동작대로29길 195,10~15,5,151,개별난방,9098,23348,157,2006-07-05,2009-02-03,재개발,02-533-0511
74,대림,사당3동,169-8,사당로17길 52,,12,1152,중앙가스,60496,66674,757,1987-04-23,1990-08-07,재개발,02-593-9580
75,롯데캐슬샤인,사당3동,1132,사당로27길 190,20,7,444,개별가스,19354,88906,744,1999-02-10,2003-10-17,재건축,02-3481-3737
76,사당현대,사당3동,169-32,사당로17길 111,,2,265,개별난방,164220,863550,249,1988-11-30,1991-04-24,재개발,02-594-6928
77,사당현대2차,사당3동,산25-2,사당로17길 111,,1,81,개별난방,3145,8714,,1990-04-10,1993-01-07,재개발,02-3476-5957
78,경남아너스빌,사당3동,1134,사당로9가길 82,16-18,3,340,개별가스,11573,45557,344,1993-11-05,1997-02-28,재건축,02-592-5644
79,대아2차,사당3동,1135,사당로 165,19,1,120,개별가스,3345,16019,122,1995-12-13,1998-05-29,재건축,02-535-8849
80,동작삼성래미안(1차),사당3동,1133,사당로23바길 9,20,18,896,개별가스,35120,155858,1275,1998-09-19,2003-02-15,재건축,02-593-3465
81,사당롯데캐슬솔레,사당3동,1149,사당로27길 181,1/14-15,4,223,개별난방,8126,31057,267,2001-07-07,2004-09-22,재건축,02-3476-7786
82,사당대창센시티,사당3동,1147,사당로9가길 55,,1,76,개별난방,3258,12447,92,2003-05-22,2005-06-30,재건축,02-599-0257
83,남성두산위브 트레지움,사당3동,1131,사당로13길 31,3/26~28,4,451,개별난방,19713,78346,599,2007-10-14,2011-10-28,재건축,02-533-3964
84,이너스내안에,사당3동,1156,사당로13길 40,,1,42,개별난방,1836,4336,52,2003-06-26,2012-03-09,재건축,02-3482-5050
85,이수역 리가,사당3동,1157,사당로27길 130,3/14~17,8,452,게별난방,21793,76707,533,2010-04-01,2013-09-24,지역주택조합,02-532-3506
86,"래미안 이수역 로이파크(분양610, 임대58)",사당3동,1159,사당로23길 112,,6,668,개별난방,24058,120198,873,2011-12-08,2018-04-23,재건축,02-595-9481
87,삼익그린뷰,사당4동,1150,남부순환로255길 21,16,2,183,개별가스,5515,26617,214,1999-07-24,2003-12-02,재건축,02-525-0810
88,진흥,사당4동,1142,사당로16아길 43,,1,140,개별가스,5311,21128,169,1999-12-14,2004-12-29,재건축,02-598-2778
89,KCC아파트,사당4동,1153,사당로20나길 57,,2,111,개별가스,5482,16579,145,2003-06-28,2007-01-18,재건축,02-584-0584
90,사당휴먼시아,사당4동,1154,사당로16길 96,3/12~15,8,480,개별가스,20781,64450,527,2005-04-11,2008-11-19,재건축,02-588-2778
91,제일,사당5동,240-15,사당로16다길 57,10,3,296,개별가스,14012,17613,186,1985-08-13,1987-02-13,재건축,02-583-4526
92,인정,사당5동,196,사당로2길 72,5,2,55,개별가스,2921,4768,55,1987-07-31,1988-10-12,재건축,02-584-6595
93,삼호그린,사당5동,1138,사당로2가길 188,,1,211,개별가스,4979,27841,226,1997-04-01,1999-10-16,재건축,02-583-4642
94,사당자이,사당5동,1139,사당로2가길 102,1/16-25,9,719,개별가스,24689,95046,724,1995-12-30,1999-12-28,재건축,02-3486-1182
95,남해오네뜨,사당5동,1143,사당로2가길 173,15,1,131,개별가스,3112,16926,137,1999-12-09,2002-12-30,재건축,02-3472-2741
96,장은해그린,사당5동,1145,사당로2길 40,15,1,79,개별가스,2825,11443,93,2001-03-02,2004-11-30,재건축,02-582-1145
97,사당갑을명가,사당5동,1151,솔밭로 65,12,1,63,개별가스,2855,8285,67,2003-06-26,2006-03-24,재건축,02-584-5012
98,관악푸르지오 102동,사당5동,1152,관악로30길 27,20,1,40,개별가스,,5456,,1998-11-05,2004-08-26,관악구허가,02-882-0185
99,반석블레스,사당5동,1158,사당로2길 76,,1,49,도시가스,1692,5170,45,2013-05-06,2016-04-16,재건축,02-436-5775
100,대방주공1차(영구임대),대방동,503,여의대방로44길 47,15,5,925,중앙가스,103020,40792,202,1993-03-19,1995-04-27,재건축,02-824-9974
101,대방대림,대방동,501,여의대방로44길 10,19,14,1628,중앙가스(열병합),70957,241528,1795,1991-06-19,1993-11-20,재건축,02-826-2970
102,대방성원,대방동,500,여의대방로44길 9,1/23-26,3,487,개별가스,14141,60892,464,1991-09-17,1994-01-15,재건축,02-823-1319
103,대방현대1차,대방동,502,노량진로 40,,5,514,개별가스,13195,64178,524,1992-03-21,1994-08-19,재건축,02-825-2190
104,대방2단지주공,대방동,503,여의대방로44길 47,15,10,798,중앙가스,31929,62383,426,,1995-05-04,재건축,02-824-5436
105,대방한국개나리,대방동,504,여의대방로62길 15,,1,90,개별가스,2524,11176,90,1995-01-16,1997-05-23,재건축,02-813-1404
106,신한토탈,대방동,41,등용로14길 34,18,1,134,개별가스,3393,15167,132,1995-01-24,1997-11-17,재건축,02-824-8315
107,우정,대방동,505,여의대방로62길 23,,2,206,개별난방,5273,2606,206,1996-04-22,1999-01-22,재건축,02-815-0051
108,대방2차현대,대방동,506,알마타길 58,,5,278,개별가스,11394,37876,384,1997-09-26,1999-12-09,재건축,02-813-6424
109,대방1차e-편한세상,대방동,508,알마타길 37,17-24,7,609,개별난방,22761,85253,709,2000-11-20,2003-06-28,재건축,02-813-4262
110,대방2차e-편한세상,대방동,507,알마타길 53,18,1,100,개별난방,5664,21197,205,2001-02-17,2003-06-27,재건축,02-813-4265
111,보라매코오롱하늘채,대방동,509,여의대방로24다길 40,,2,200,개별난방,8007,27241,228,2001-11-13,2005-09-16,재건축,02-6409-1372
112,대방동신일해피트리,대방동,"510, 511","여의대방로62길 7, 여의대방로62길 8",1/7~19,2,130,개별난방,3588,14249,111,2003-06-23,2005-11-25,재건축,02-826-1117
113,대방동경남아너스빌,대방동,512,여의대방로54길 6,1/14~15,2,163,개별난방,6803,25144,190,2003-06-24,2006-03-27,재건축,02-824-2225
114,신대방우성1차,신대방1동,565,여의대방로 22,15-20,16,1335,개별가스,79769,166925,976,1985-11-13,1988-09-25,재건축,02-848-4912
115,신대방2차우성,신대방1동,565-21,여의대방로 8,1/17-19,2,174,개별가스,66110,24661,188,1992-07-31,1995-01-14,재건축,02-848-8864
116,신대방현대,신대방1동,707,여의대방로 28,20,6,880,개별난방,29572,96000,892,1992-06-11,1996-02-13,재건축,02-835-6423
117,경남교수,신대방1동,710,여의대방로10길 14,1/20-23,4,295,개별가스,10573,49639,423,1997-10-16,2001-08-02,재건축,02-836-3737
118,신대방경남,신대방1동,712,신대방길 85,2/16-20,5,427,개별가스,15679,65144,511,1999-12-21,2003-02-28,재건축,02-847-9669
119,롯데낙천대,신대방1동,713,여의대방로10길 38,1/17~21,7,734,개별가스,19543,93924,732,2000-11-20,2003-08-02,재건축,02-6295-9655
120,현진에버빌,신대방1동,716,신대방1나길 45,,1,135,개별가스,3991,16213,135,1999-04-02,2003-10-24,재건축,02-834-0133
121,숲속마을신동아파밀리에,신대방1동,717,여의대방로10길 100,2/12~13,2,105,개별가스,5321,18487,159,2003-03-28,2005-06-24,재건축,02-831-7829
122,펭귄대방,신대방2동,364-55,여의대방로22나길 47,5,2,60,개별가스,3340,4025,,,1978-11-24,재건축,02-821-6211
123,신대방신동아,신대방2동,360-17,여의대방로22아길 22,14,1,171,개별가스,3379,12162,78,1991-01-25,1993-01-13,재건축,02-826-0713
124,신대방한성,신대방2동,470-8,여의대방로10길 13,1/17-21,4,272,개별가스,12980,3023,287,1992-04-06,1995-02-18,재건축,02-849-2295
125,"신대방(분양 60, 임대48)",신대방2동,705,보라매로 83,,1,108,개별가스,3305,7833,34,,1995-05-18,서울시도개공,02-821-3074
126,보라매우성,신대방2동봉천동,"706, 1696",보라매로5길 5,22,1,199,개별가스,3900,32269,237,1992-04-23,1995-11-14,재건축,02-831-3382
127,신대방벽산,신대방2동,709,여의대방로22길 24,,2,132,개별가스,4509,16796,136,1995-12-05,1997-12-12,재건축,02-822-5245
128,보라매파크빌,신대방2동,711,여의대방로10길 59,,6,423,개별가스,18672,58191,486,,2002-02-27,서울시도개공,02-841-6417
129,해태보라매타워(관악구),"신대방2동, 봉천1동","708, 729-32",보라매로3길 29,23,1,256,개별가스,4043,46900,256,,1996-10-18,재개발,02-836-0020
130,보라매 e편한세상,신대방2동,720,보라매로 70,2/15~19,5,386,개별난방,19587,67443,550,2006-03-31,2010-07-26,민영,02-814-3691
131,흑석아크로리버하임,흑석동,158-1,현충로 52,3/18~28,20,1073,개별난방,53472,158675,,2013-12-17,2018-11-29,재개발,02-827-0190
132,흑석롯데캐슬에듀포레,흑석동,232-80,서달로 123,4/10~23,7,545,개별난방,12521,84582,700,2014-08-08,2018-11-29,재개발,02-812-7231
133,e편한세상 상도노빌리티,상도2동,903,만양로 6,4/15~29,8,893,개별난방,39429,141263,1168,2010-05-28,2018-12-03,재건축,02-827-0181
134,상도역 롯데캐슬파크엘,상도2동,904,양녕로220,27/14~20,13,950,개별난방,40732,139977,1159,2017-09-22,2021-02-18,지역주택조합,02-3280-6667
